OBJECTID;Activate;Address;PosicionSTR;Ligth;Name;NoAvailable;number;TotalBases;State;POINT_X;POINT_Y
606;1;Calle Alicante, nº3 ,;-3.6939412 40.3941856;1;176 - Plaza de la Beata María Ana de Jesús;0;176;23;IN_SERVICE;-3,6939412;40,3941856
607;1;Calle de Febrero nº 4,;-3.573031 40.446868;2;630 - Calle de Febrero 4;0;630;23;IN_SERVICE;-3,573031;40,446868
608;1;Calle de Avda de Fermina Sevillano 23,;-3.568829 40.44477;2;629 - Avda de Fermina Sevillano 23;0;629;23;IN_SERVICE;-3,568829;40,44477
609;1;Calle Cazorla  79 ,;-3.6658859999999995 40.376297;1;620 - Calle Cazorla 79;0;620;23;IN_SERVICE;-3,665886;40,376297
610;1;Calle Montiel 27 ,;-3.672609 40.381382;1;621 - Calle Montiel 27;0;621;23;IN_SERVICE;-3,672609;40,381382
611;1;Calle Sierra de Albarracin 2,;-3.671961 40.386022;2;622 - Calle Sierra de Albarracin 2;0;622;23;IN_SERVICE;-3,671961;40,386022
612;1;Calle Eduardo Barreiros s/n,;-3.7023800000000002 40.358866;0;617 - Calle Eduardo Barreiros;0;617;23;IN_SERVICE;-3,70238;40,358866
613;1;Avenida Victoria kent, FRENTE nº 9 esquina C/Mario Moreno Cantiflas,;-3.564012 40.401326;1;626 - Avenida Victoria Kent 9;0;626;23;IN_SERVICE;-3,564012;40,401326
614;1;C/ Alcalde Andrés Madrid Dávila 92,;-3.548534 40.398303;1;627 - Alcalde Andrés Madrid Dávila 92;0;627;23;IN_SERVICE;-3,548534;40,398303
615;1;Avenida Blas de Lezo 33,;-3.553002 40.407067;2;624  - Avenida Blas de Lezo 33;0;624;23;IN_SERVICE;-3,553002;40,407067
616;1;Avenida de Miguel Delibes 49,;-3.560344 40.405505;0;625 - Avenida de Miguel Delibes 49;0;625;23;IN_SERVICE;-3,560344;40,405505
617;1;Calle Rosalia de Castro 1,;-3.734639 40.480258;1;612 - Calle Rosalia de Castro 1;0;612;23;IN_SERVICE;-3,734639;40,480258
618;1;Calle José García Santesmases, 9,;-3.7348129999999995 40.453109;0;613 - Facultad de informática;0;613;23;IN_SERVICE;-3,734813;40,453109
619;1;Avenida Juan de Andrés 21,;-3.7227890000000006 40.468732;1;615 - Avenida Juan de Andrés 21;0;615;23;IN_SERVICE;-3,722789;40,468732
620;1;calle Alcalde Martín de Alzaga 11,;-3.7171950000000002 40.462899;2;616 - Alcalde Martín de Alzaga;0;616;23;IN_SERVICE;-3,717195;40,462899
621;1;Calle Arcaute 13,  28022 Madrid,;-3.576652 40.44358;1;628  - Calle Arcaute 13;0;628;23;IN_SERVICE;-3,576652;40,44358
622;1;Calle Cooperativa Electrica 13,;-3.6596330000000004 40.374387;1;619 - Cooperativa Electrica 13;0;619;23;IN_SERVICE;-3,659633;40,374387
623;1;623 -  Ronda.del Sur, 4,;-3.6731049999999996 40.37773;1;623  -  Ronda del Sur, esq Santa Rafaela;0;623;23;IN_SERVICE;-3,673105;40,37773
624;1;Calle Senda del Rey 3,;-3.7344822999999994 40.4356759;1;614 - Biblioteca central de la UNED;0;614;23;IN_SERVICE;-3,7344823;40,4356759
625;1;Calle Paterna 55,;-3.68482 40.340613;0;618 - Calle Paterna 55;0;618;19;IN_SERVICE;-3,68482;40,340613
626;1;Av. Campus Sur, 11,;-3.6312854501599756 40.38616402647108;2;632 - Avda. Campus Sur, 11;0;632;23;IN_SERVICE;-3,63128545;40,38616403
627;1;Av. de la democracia, 2,;-3.624811620840096 40.38340792442376;2;631 -  CAMPUS SUR 2;0;631;19;IN_SERVICE;-3,624811621;40,38340792
628;1;Calle Jacometrezo, 3,;-3.706494 40.420172;0;22 - Jacometrezo 3;0;22;12;IN_SERVICE;-3,706494;40,420172
629;1;Calle Antonia Calas, 2 ,;-3.669224 40.397661;1;8000 - EV Puente de Vallecas ;0;8000;23;IN_SERVICE;-3,669224;40,397661
630;1;Calle de la Sombra, 6;-3.7413485 40.3798462;2;8001 - EV JMD Carabanchel;0;8001;23;IN_SERVICE;-3,7413485;40,3798462
