167 Calahorra                                                                                                                                                                                                -3.6099031 40.4096453
168 Avenida de Daroca-Calahorra                                                                                                                                                                              -3.6118235 40.4081036
169 Avenida de Daroca-Campus Universitario                                                                                                                                                                   -3.6090959 40.4062171
170 Metro Vicálvaro                                                                                                                                                                                          -3.6071959 40.4059298
171 San Cipriano                                                                                                                                                                                             -3.6032816 40.4057521
172 San Cipriano-Forges                                                                                                                                                                                      -3.600747 40.4056571
173 San Cipriano-Minerva                                                                                                                                                                                     -3.5979873 40.4051444
174 Puerta Arganda                                                                                                                                                                                           -3.5948437 40.403102
175 San Cipriano-Minerva                                                                                                                                                                                     -3.5978912 40.4053116
176 San Cipriano-Forges                                                                                                                                                                                      -3.6009259 40.4058995
177 San Cipriano                                                                                                                                                                                             -3.60339 40.4060127
178 Metro Vicálvaro                                                                                                                                                                                          -3.6072219 40.4061999
179 Avenida de Daroca-Campus Universitario                                                                                                                                                                   -3.6092044 40.4064868
180 Avenida de Daroca-Calahorra                                                                                                                                                                              -3.6118384 40.4084458
181 Avenida de Daroca-Casalarreina                                                                                                                                                                           -3.6133811 40.4096089
182 Casalarreina-Daroca                                                                                                                                                                                      -3.6125645 40.4105321
183 Plaza de la Vicalvarada                                                                                                                                                                                  -3.6094353 40.4111883
184 Avenida de Canillejas-M40                                                                                                                                                                                -3.6093383 40.4187294
185 Avenida de Canillejas-Toscana                                                                                                                                                                            -3.6096101 40.4214127
186 Avenida de Canillejas-Suecia                                                                                                                                                                             -3.6098886 40.4235373
187 Avenida de Canillejas-Rusia                                                                                                                                                                              -3.6100858 40.4257886
188 Arcos de Jalón-Avenida de Canillejas                                                                                                                                                                     -3.6116952 40.4290684
189 Arcos de Jalón-Albericia                                                                                                                                                                                 -3.6147361 40.4264036
190 Arcos de Jalón-Amposta                                                                                                                                                                                   -3.617325 40.424615
191 Arcos de Jalón-San Román del Valle                                                                                                                                                                       -3.6206902 40.422651
192 Pobladura del Valle-Arcos de Jalón                                                                                                                                                                       -3.6238031 40.4240217
193 Hermanos García Noblejas-Centro de Salud                                                                                                                                                                 -3.6262714 40.4257741
194 Hermanos García Noblejas-Gandhi                                                                                                                                                                          -3.6282514 40.4282589
195 Castillo de Arévalo                                                                                                                                                                                      -3.6294574 40.4299009
196 Metro García Noblejas                                                                                                                                                                                    -3.6303312 40.4313106
197 Ascao-Julián Camarillo                                                                                                                                                                                   -3.6325171 40.4343527
198 Vital Aza-Albasanz                                                                                                                                                                                       -3.6344747 40.4369096
199 Ciudad Lineal                                                                                                                                                                                            -3.6361358 40.4392608
