|ID|name
532|10020_AM|Almoharín agregacion de municipios
533|10021|Arroyo de la Luz
534|10032_AM|Brozas agregacion de municipios
535|10035_AM|Cabezuela del Valle agregacion de municipios
536|10037|Cáceres
537|10049_AM|Casar de Cáceres agregacion de municipios
538|10050_AM|Casar de Palomero agregacion de municipios
539|10061_AM|Ceclavín agregacion de municipios
540|10064_AM|Cilleros agregacion de municipios
541|10067|Coria
542|10087_AM|Guadalupe agregacion de municipios
543|10089_AM|Guijo de Galisteo agregacion de municipios
544|10096_AM|Hervás agregacion de municipios
545|10104|Jaraíz de la Vera
546|10105_AM|Jarandilla de la Vera agregacion de municipios
547|10109_AM|Logrosán agregacion de municipios
548|10110|Losar de la Vera
549|10113_AM|Madroñera agregacion de municipios
550|10115|Malpartida de Cáceres
551|10116_AM|Malpartida de Plasencia agregacion de municipios
552|10121|Miajadas
553|10127|Montehermoso
554|10128|Moraleja
555|10131|Navalmoral de la Mata
556|10140_AM|Peraleda de la Mata agregacion de municipios
557|10146_AM|Pinofranqueado agregacion de municipios
558|10147_AM|Piornal agregacion de municipios
559|10148|Plasencia
560|10175_AM|Serradilla agregacion de municipios
561|10177_AM|Sierra de Fuentes agregacion de municipios
562|10180_AM|Talayuela agregacion de municipios
563|10184_AM|Torno, El agregacion de municipios
564|10186_AM|Torrecillas de la Tiesa agregacion de municipios
565|10189|Torrejoncillo
566|10195_AM|Trujillo agregacion de municipios
567|10203|Valencia de Alcántara
568|10205_AM|Valverde del Fresno agregacion de municipios
569|10212_AM|Villanueva de la Vera agregacion de municipios
570|10216_AM|Zarza de Granadilla agregacion de municipios
571|11001|Alcalá de los Gazules
572|11002|Alcalá del Valle
573|11004|Algeciras
574|11005_AM|Algodonales agregacion de municipios
575|11006|Arcos de la Frontera
576|11007|Barbate
577|11008|Barrios, Los
578|11010|Bornos
579|11011_AM|Bosque, El agregacion de municipios
580|11012|Cádiz
581|11013|Castellar de la Frontera
582|11014|Conil de la Frontera
583|11015|Chiclana de la Frontera
584|11016|Chipiona
585|11017|Espera
586|11020|Jerez de la Frontera
587|11021|Jimena de la Frontera
588|11022|Línea de la Concepción, La
589|11023|Medina Sidonia
590|11024_AM|Olvera agregacion de municipios
591|11025|Paterna de Rivera
592|11026_AM|Prado del Rey agregacion de municipios
593|11027|Puerto de Santa María, El
594|11028|Puerto Real
595|11029|Puerto Serrano
596|11030|Rota
597|11031|San Fernando
598|11032|Sanlúcar de Barrameda
599|11033|San Roque
600|11034|Setenil de las Bodegas
601|11035|Tarifa
602|11037|Trebujena
603|11038|Ubrique
604|11039|Vejer de la Frontera
605|11041|Villamartín
606|11901|Benalup-Casas Viejas
607|11902_AM|San José del Valle agregacion de municipios
608|11903|San Martín del Tesorillo
609|12004|Alcalà de Xivert
610|12005|Alcora, l'
611|12009|Almassora
612|12011_AM|Almenara agregacion de municipios
613|12012_AM|Altura agregacion de municipios
614|12016_AM|Artana agregacion de municipios
615|12021|Betxí
616|12027|Benicarló
617|12028|Benicasim/Benicàssim
618|12031|Borriol
619|12032|Borriana/Burriana
620|12033_AM|Cabanes agregacion de municipios
621|12034_AM|Càlig agregacion de municipios
622|12040|Castelló de la Plana
623|12050_AM|Coves de Vinromà, les agregacion de municipios
624|12053|Chilches/Xilxes
625|12072_AM|Llucena/Lucena del Cid agregacion de municipios
626|12077|Moncofa
627|12080_AM|Morella agregacion de municipios
628|12082|Nules
629|12084|Onda
630|12085|Oropesa del Mar/Orpesa
631|12089|Peníscola/Peñíscola
632|12104|Segorbe
633|12106_AM|Soneja agregacion de municipios
634|12117|Torreblanca
635|12121_AM|Traiguera agregacion de municipios
636|12124|Vall d'Alba
637|12126|Vall d'Uixó, la
638|12128_AM|Vilafamés agregacion de municipios
639|12129_AM|Vilafranca/Villafranca del Cid agregacion de municipios
640|12135|Vila-real
641|12136|Vilavella, la
642|12138|Vinaròs
643|12140_AM|Viver agregacion de municipios
644|12901|Alqueries, les/Alquerías del Niño Perdido
645|12902_AM|Sant Joan de Moró agregacion de municipios
646|13001_AM|Abenójar agregacion de municipios
647|13005|Alcázar de San Juan
648|13009_AM|Aldea del Rey agregacion de municipios
649|13011|Almadén
650|13013|Almagro
651|13015|Almodóvar del Campo
652|13019|Argamasilla de Alba
