Codigo;Provincia;distrito;name;poblacion;fecha;edad;sexo;numero_viajes;personas
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;hombre;2+;136060.384
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;mujer;0;198614.915
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;mujer;1;24534.43
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;mujer;2;124016.234
28;Madrid                ;2807906 ;Tetuan                                        ;159564;202401;65-100;mujer;2+;232131.741
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;hombre;0;114191.666
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;hombre;1;17052.908
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;hombre;2;77030.361
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;hombre;2+;176641.321
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;mujer;0;99264.407
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;mujer;1;18262.003
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;mujer;2;82210.795
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;0-25;mujer;2+;193133.477
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;hombre;0;141291.855
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;hombre;1;24711.803
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;hombre;2;123812.855
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;hombre;2+;306032.7249999999
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;mujer;0;136510.841
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;mujer;1;26587.892
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;mujer;2;140763.258
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;25-45;mujer;2+;353806.164
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;hombre;0;104535.122
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;hombre;1;19600.991
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;hombre;2;100562.692
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;hombre;2+;255777.2990000001
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;mujer;0;121233.353
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;mujer;1;23923.769
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;mujer;2;126994.175
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;45-65;mujer;2+;314013.103
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;hombre;0;119902.108
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;hombre;1;15780.447
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;hombre;2;74152.559
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;hombre;2+;150707.876
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;mujer;0;211531.001
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;mujer;1;27015.877
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;mujer;2;137449.4239999999
28;Madrid                ;2807907 ;Chamberi                                      ;138335;202401;65-100;mujer;2+;262592.151
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;hombre;0;283070.591
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;hombre;1;38153.088
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;hombre;2;190202.655
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;0-25;hombre;2+;442421.721
