station_id;station_name;stop_lon;stop_lat;state;capacity;transport_mode
166;Viaducto de Segovia;-3.713377023;40.41390473;IN_SERVICE    ;26;bicimad             
167;Segovia 45;-3.71748917;40.41374771;IN_SERVICE    ;27;bicimad             
168;Santa María Cabeza;-3.6959;40.4046;IN_SERVICE    ;23;bicimad             
169;Glorieta de Pirámides;-3.713823;40.401589;IN_SERVICE    ;24;bicimad             
170;Paseo de la Esperanza, 21;-3.7043956;40.4010554;IN_SERVICE    ;24;bicimad             
171;Embajadores-Cáceres;-3.6984023;40.3997013;IN_SERVICE    ;27;bicimad             
172;Estación de tren de Delicias;-3.6934926;40.4008279;IN_SERVICE    ;23;bicimad             
173;Paseo Esperanza;-3.7024839;40.3983467;IN_SERVICE    ;24;bicimad             
174;Paseo de las Yeserías, 45;-3.706525885;40.39742958;IN_SERVICE    ;27;bicimad             
175;Jaime el Conquistador;-3.69834452;40.3962264;IN_SERVICE    ;19;bicimad             
177;Metro Legazpi;-3.694187637;40.39144709;IN_SERVICE    ;23;bicimad             
178;Junta Municipal Distrito de Retiro;-3.6788343;40.4029202;IN_SERVICE    ;24;bicimad             
180;Estación Sur Méndez Álvaro B;-3.67589;40.3940423;IN_SERVICE    ;23;bicimad             
181;Ibiza;-3.67644354;40.41816933;IN_SERVICE    ;27;bicimad             
182;Parque Roma;-3.6657777;40.4186666;IN_SERVICE    ;23;bicimad             
183;Hermosilla;-3.669339;40.425635;IN_SERVICE    ;23;bicimad             
184;Marqués de Zafra, 24;-3.6653055;40.426;IN_SERVICE    ;24;bicimad             
185;Parque Quinta de la Fuente del Berro;-3.6615277;40.4250833;IN_SERVICE    ;24;bicimad             
143;Diego de León;-3.6780802;40.434676;IN_SERVICE    ;23;bicimad             
187;Alejandro González;-3.6638249;40.4301326;IN_SERVICE    ;23;bicimad             
188;Puente de Ventas;-3.6590286;40.4312562;IN_SERVICE    ;27;bicimad             
189;Virgen de la Alegría;-3.6554918;40.4351256;IN_SERVICE    ;23;bicimad             
190;Velázquez;-3.6833753;40.4343053;IN_SERVICE    ;23;bicimad             
191;Metro Diego de León;-3.674077784;40.43456939;IN_SERVICE    ;19;bicimad             
192;Avda. de los Toreros;-3.671467718;40.43182646;IN_SERVICE    ;27;bicimad             
193;Plaza de las Ventas;-3.6655555;40.4324722;IN_SERVICE    ;27;bicimad             
194;Intercambiador de Avenida de América;-3.6771535;40.4372638;IN_SERVICE    ;24;bicimad             
195;Indalecio Hernández;-3.6754444;40.4392222;IN_SERVICE    ;24;bicimad             
196;Metro Prosperidad;-3.6752218;40.4442237;IN_SERVICE    ;27;bicimad             
197;Parque de Berlín;-3.677916;40.4516059;IN_SERVICE    ;23;bicimad             
198;Metro Rubén Darío;-3.6891;40.432;IN_SERVICE    ;23;bicimad             
199;Fernando el Católico, 61;-3.7149166;40.4343611;IN_SERVICE    ;27;bicimad             
200;Metro Quevedo;-3.704578981;40.43375361;IN_SERVICE    ;24;bicimad             
201;Metro Canal;-3.7038333;40.4386944;IN_SERVICE    ;23;bicimad             
